Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
24,DAB2IP,1,"MAP2K1,MAP2K2","1,1",AUC,123.53,44,67.24,Selumetinib,DAB2IP
25,DAB2IP,1,"FLT3,KIT","1,1",AUC,221.84,46,42.1,Midostaurin,DAB2IP
26,FLT3,1,"BCL2,NPM1","1,1",AUC,95.32,19,64.62,Venetoclax,"FLT3_ITD,NPM1"
27,FLT3,1,"BTK,NPM1","1,1",AUC,169.77,22,53.52,Ibrutinib,"FLT3_ITD,NPM1"
28,FLT3,1,"NPM1,SYK","1,1",AUC,136.91,19,51.73,Entospletinib,"FLT3_ITD,NPM1"
29,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,211.61,23,72.49,Selumetinib,"FLT3_ITD,NPM1"
30,FLT3,1,"FLT3,KIT,NPM1","1,1,1",AUC,157.14,25,69.63,Midostaurin,"FLT3_ITD,NPM1"
31,FLT3,1,"BCL2,DNMT3A","1,1",AUC,151.24,5,91.16,Venetoclax,"DNMT3A,FLT3_ITD"
32,FLT3,1,"BTK,DNMT3A","1,1",AUC,207.76,7,38.11,Ibrutinib,"DNMT3A,FLT3_ITD"
33,FLT3,1,"DNMT3A,SYK","1,1",AUC,187.2,5,22.41,Entospletinib,"DNMT3A,FLT3_ITD"
34,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,194.31,8,70.21,Selumetinib,"DNMT3A,FLT3_ITD"
35,FLT3,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,170.42,8,36.33,Midostaurin,"DNMT3A,FLT3_ITD"
36,"FLT3,DAB2IP","1,1",BCL2,1,AUC,74.45,2,87.19,Venetoclax,"FLT3_ITD,DAB2IP"
37,"FLT3,DAB2IP","1,1",BTK,1,AUC,210.58,2,36.98,Ibrutinib,"FLT3_ITD,DAB2IP"
38,"FLT3,DAB2IP","1,1",SYK,1,AUC,214.77,2,37.36,Entospletinib,"FLT3_ITD,DAB2IP"
39,"FLT3,DAB2IP","1,1","MAP2K1,MAP2K2","1,1",AUC,159.96,2,178.7,Selumetinib,"FLT3_ITD,DAB2IP"
40,"FLT3,DAB2IP","1,1","FLT3,KIT","1,1",AUC,228.91,2,2.35,Midostaurin,"FLT3_ITD,DAB2IP"
41,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,185.61,10,70.93,Venetoclax,"DNMT3A,NPM1"
42,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,183.42,13,32.13,Ibrutinib,"DNMT3A,NPM1"
43,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,162.41,8,26.24,Entospletinib,"DNMT3A,NPM1"
44,,,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,166.41,15,50.31,Selumetinib,"DNMT3A,NPM1"
45,,,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,215.81,15,50.14,Midostaurin,"DNMT3A,NPM1"
46,DAB2IP,1,"BCL2,NPM1","1,1",AUC,136.77,6,109.84,Venetoclax,"NPM1,DAB2IP"
47,DAB2IP,1,"BTK,NPM1","1,1",AUC,204.82,6,32.73,Ibrutinib,"NPM1,DAB2IP"
48,DAB2IP,1,"NPM1,SYK","1,1",AUC,199.74,4,35.04,Entospletinib,"NPM1,DAB2IP"
49,DAB2IP,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,167.12,5,59.83,Selumetinib,"NPM1,DAB2IP"
50,DAB2IP,1,"FLT3,KIT,NPM1","1,1,1",AUC,210.53,6,35.21,Midostaurin,"NPM1,DAB2IP"
51,DAB2IP,1,"BCL2,DNMT3A","1,1",AUC,175.04,7,55.66,Venetoclax,"DNMT3A,DAB2IP"
52,DAB2IP,1,"BTK,DNMT3A","1,1",AUC,215.2,8,62.56,Ibrutinib,"DNMT3A,DAB2IP"
53,DAB2IP,1,"DNMT3A,SYK","1,1",AUC,212.45,6,42.45,Entospletinib,"DNMT3A,DAB2IP"
54,DAB2IP,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,151.58,8,68.81,Selumetinib,"DNMT3A,DAB2IP"
55,DAB2IP,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,212.64,7,73.06,Midostaurin,"DNMT3A,DAB2IP"
56,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,147.19,24,74.95,Venetoclax,"DNMT3A,FLT3_ITD,NPM1"
57,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,157.73,24,47.83,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1"
58,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,147.56,22,48.9,Entospletinib,"DNMT3A,FLT3_ITD,NPM1"
59,FLT3,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,192.43,26,59.69,Selumetinib,"DNMT3A,FLT3_ITD,NPM1"
60,FLT3,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,162.85,26,53.51,Midostaurin,"DNMT3A,FLT3_ITD,NPM1"
61,DAB2IP,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,184.42,5,87.91,Venetoclax,"DNMT3A,NPM1,DAB2IP"
62,DAB2IP,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,180.01,8,62.79,Ibrutinib,"DNMT3A,NPM1,DAB2IP"
63,DAB2IP,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,123.54,5,80.98,Entospletinib,"DNMT3A,NPM1,DAB2IP"
64,DAB2IP,1,"DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,164.9,9,97.46,Selumetinib,"DNMT3A,NPM1,DAB2IP"
65,DAB2IP,1,"DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,189.64,8,83.71,Midostaurin,"DNMT3A,NPM1,DAB2IP"
66,"FLT3,DAB2IP","1,1","BCL2,DNMT3A,NPM1","1,1,1",AUC,198.28,2,50.51,Venetoclax,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
67,"FLT3,DAB2IP","1,1","BTK,DNMT3A,NPM1","1,1,1",AUC,204.22,2,8.31,Ibrutinib,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
68,"FLT3,DAB2IP","1,1","DNMT3A,NPM1,SYK","1,1,1",AUC,190.02,2,20.73,Entospletinib,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
69,"FLT3,DAB2IP","1,1","DNMT3A,MAP2K1,MAP2K2,NPM1","1,1,1,1",AUC,140.79,2,130.38,Selumetinib,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
70,"FLT3,DAB2IP","1,1","DNMT3A,FLT3,KIT,NPM1","1,1,1,1",AUC,232.39,2,35.87,Midostaurin,"DNMT3A,FLT3_ITD,NPM1,DAB2IP"
